unique_wellbore_identifier;source_file;
NO 10/4-1;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC;calc_tvd_ss is wrong
NO 16/2-15;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-15\07.Borehole_Seismic\INTERNAL\VSP-enclosures\VSPZO_VELOCITY_LISTING_2013_01_01\TZV_TIME_CHECKSHOT.ASC;
NO 16/2-15;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-15\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6603/12-1;G:\Sub_Appl_Data\WellDB\NO\wells\6603\NO 6603-12-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2.ASC;
NO 16/2-18 S;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-18 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 16/2-14 T2;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-14 T2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6507/3-8;G:\Sub_Appl_Data\WellDB\NO\wells\6507\NO 6507-3-8\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 7225/3-2;G:\Sub_Appl_Data\WellDB\NO\wells\7225\NO 7225-3-2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 7220/5-2;G:\Sub_Appl_Data\WellDB\NO\wells\7220\NO 7220-5-2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 16/2-9 S;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-9 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 34/10-53 S;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-10-53 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 34/10-53 S;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-10-53 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2.ASC;
NO 34/10-U-15;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-10-U-15\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6705/10-1;G:\Sub_Appl_Data\WellDB\NO\wells\6705\NO 6705-10-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6407/6-7 S;G:\Sub_Appl_Data\WellDB\NO\wells\6407\NO 6407-6-7 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 25/8-19 S;G:\Sub_Appl_Data\WellDB\NO\wells\0025\NO 25-8-19 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2020-11-11_1.ASC;
NO 34/3-2 S;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-3-2 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 7220/8-1;G:\Sub_Appl_Data\WellDB\NO\wells\7220\NO 7220-8-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 16/2-12;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-12\07.Borehole_Seismic\INTERNAL\0012_VSP_Enclosures\VSPZO_VELOCITY-LISTINGS_2012-08-25\TZV_TIME_CHECKSHOT.ASC;
NO 16/2-12;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-12\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6305/5-3 ST2;G:\Sub_Appl_Data\WellDB\NO\wells\6305\NO 6305-5-3 ST2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6507/7-15 S;G:\Sub_Appl_Data\WellDB\NO\wells\6507\NO 6507-7-15 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 34/8-A-26 H;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-8-A-26 H\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6507/3-7;G:\Sub_Appl_Data\WellDB\NO\wells\6507\NO 6507-3-7\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6305/7-D-7 H;G:\Sub_Appl_Data\WellDB\NO\wells\6305\NO 6305-7-D-7 H\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 36/7-E-4 H;G:\Sub_Appl_Data\WellDB\NO\wells\0036\NO 36-7-E-4 H\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6305/8-2;G:\Sub_Appl_Data\WellDB\NO\wells\6305\NO 6305-8-2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6406/9-3 T2;G:\Sub_Appl_Data\WellDB\NO\wells\6406\NO 6406-9-3 T2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6407/12-2;G:\Sub_Appl_Data\WellDB\NO\wells\6407\NO 6407-12-2\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6603/5-1 S;G:\Sub_Appl_Data\WellDB\NO\wells\6603\NO 6603-5-1 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 6603/5-1 S;G:\Sub_Appl_Data\WellDB\NO\wells\6603\NO 6603-5-1 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2.ASC;
NO 7229/11-1;G:\Sub_Appl_Data\WellDB\NO\wells\7229\NO 7229-11-1\07.Borehole_Seismic\TZV_DEPTH_MD_CHECKSHOT_1993-12-15_1.ASC;
NO 35/2-3;G:\Sub_Appl_Data\WellDB\NO\wells\0035\NO 35-2-3\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 30/9-25;G:\Sub_Appl_Data\WellDB\NO\wells\0030\NO 30-9-25\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 35/11-25 A;G:\Sub_Appl_Data\WellDB\NO\wells\0035\NO 35-11-25 A\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2021-05-28_1.ASC;
NO 30/6-28 S;G:\Sub_Appl_Data\WellDB\NO\wells\0030\NO 30-6-28 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2.ASC;
NO 30/6-28 S;G:\Sub_Appl_Data\WellDB\NO\wells\0030\NO 30-6-28 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 34/10-52 A;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-10-52 A\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
NO 34/10-52 A;G:\Sub_Appl_Data\WellDB\NO\wells\0034\NO 34-10-52 A\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2.ASC;
NO 16/2-17 S;G:\Sub_Appl_Data\WellDB\NO\wells\0016\NO 16-2-17 S\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_1.ASC;
